cliente,tempo_chegada,inicio_atendimento,fim_atendimento,tempo_espera
227,681.209999999999,681.209999999999,690.6599999999991,0
228,682.939999999999,682.939999999999,693.239999999999,0
229,685.0299999999991,690.6599999999991,692.9999999999991,5.6299999999999955
230,689.9699999999991,692.9999999999991,695.539999999999,3.0299999999999727
231,691.7799999999991,693.239999999999,693.529999999999,1.4599999999999227
232,698.169999999999,698.169999999999,701.219999999999,0
233,699.7399999999991,699.7399999999991,707.4299999999992,0
234,702.5799999999991,702.5799999999991,704.7799999999992,0
235,705.8799999999991,705.8799999999991,706.5699999999991,0
236,705.939999999999,706.5699999999991,707.0999999999991,0.6300000000001091
237,708.449999999999,708.449999999999,711.5299999999991,0
238,709.069999999999,709.069999999999,715.559999999999,0
239,709.369999999999,711.5299999999991,721.2799999999991,2.160000000000082
240,712.959999999999,715.559999999999,731.849999999999,2.6000000000000227
241,713.2799999999991,721.2799999999991,721.699999999999,8.0
242,716.459999999999,721.699999999999,722.569999999999,5.240000000000009
243,716.519999999999,722.569999999999,724.069999999999,6.050000000000068
244,719.379999999999,724.069999999999,731.609999999999,4.690000000000055
245,724.199999999999,731.609999999999,732.079999999999,7.409999999999968
246,734.0299999999991,734.0299999999991,750.049999999999,0
247,734.689999999999,734.689999999999,737.499999999999,0
248,734.999999999999,737.499999999999,741.8099999999989,2.5
249,736.719999999999,741.8099999999989,741.9799999999989,5.089999999999918
250,742.369999999999,742.369999999999,744.7899999999989,0
251,747.079999999999,747.079999999999,748.949999999999,0
252,748.229999999999,748.949999999999,750.739999999999,0.7200000000000273
253,756.129999999999,756.129999999999,756.759999999999,0
254,759.969999999999,759.969999999999,780.009999999999,0
255,761.989999999999,761.989999999999,767.959999999999,0
256,763.139999999999,767.959999999999,771.979999999999,4.82000000000005
257,767.599999999999,771.979999999999,772.059999999999,4.3799999999999955
258,768.039999999999,772.059999999999,777.109999999999,4.019999999999982
259,776.719999999999,777.109999999999,778.689999999999,0.38999999999998636
260,783.529999999999,783.529999999999,788.489999999999,0
261,803.8299999999989,803.8299999999989,805.8599999999989,0
262,804.2499999999989,804.2499999999989,810.2099999999989,0
263,806.4599999999989,806.4599999999989,817.149999999999,0
264,809.1099999999989,810.2099999999989,810.5399999999989,1.1000000000000227
265,814.7299999999989,814.7299999999989,823.3599999999989,0
266,815.6499999999988,817.149999999999,819.139999999999,1.5000000000001137
267,823.4399999999988,823.4399999999988,825.0699999999988,0
268,826.3199999999988,826.3199999999988,833.4199999999988,0
269,826.3799999999987,826.3799999999987,829.9499999999988,0
270,827.3799999999987,829.9499999999988,845.1199999999988,2.57000000000005
271,835.3299999999988,835.3299999999988,840.8699999999988,0
272,838.1299999999987,840.8699999999988,841.6499999999987,2.740000000000009
273,847.5099999999987,847.5099999999987,849.1099999999988,0
